"Област","Община","Населено място","Училище","Код по Админ","Бр. БЕЛ(ООП) З","Ср.усп.  БЕЛ(ООП) З","Бр. Мат(ПП) З","Ср.усп. Мат(ПП) З","Бр. Ист(ПП) З","Ср.усп. Ист(ПП) З","Бр. ФА(ПП) З","Ср.усп. ФА(ПП) З","Бр. ГИ(ПП) З","Ср.усп. ГИ(ПП) З","Бр. ХООС(ПП) З","Ср.усп. ХООС(ПП) З","Бр. Фил(ПП) З","Ср.усп. Фил(ПП) З","Бр. БЗО(ПП) З","Ср.усп. БЗО(ПП) З","Бр. Инф(ПП) З","Ср.усп. Инф(ПП) З","Бр. ИТ(ПП) З","Ср.усп. ИТ(ПП)З","Бр. МУЗ(ПП) З","Ср.усп. МУЗ(ПП) З","Бр. ИИ(ПП) З","Ср.усп. ИИ(ПП) З","Бр. Пр(ПП) З","Ср.усп. Пр(ПП) З","Бр. АЕ(ПП) B1-З","Ср.усп. АЕ(ПП) B1-З","Бр. АЕ(ПП) B1.1-З","Ср.усп. АЕ(ПП) B1.1-З","Бр. АЕ(ПП) B2-З","Ср.усп.  АЕ(ПП) B2-З","Бр. РЕ(ПП) B1-З","Ср.усп. РЕ(ПП) B1-З","Бр. РЕ(ПП) B1.1-З","Ср.усп. РЕ(ПП) B1.1-З","Бр. РЕ(ПП) B2-З","Ср.усп.  РЕ(ПП) B2-З","Бр. НЕ(ПП) B1-З","Ср.усп. НЕ(ПП) B1-З","Бр. НЕ(ПП) B1.1-З","Ср.усп. НЕ(ПП) B1.1-З","Бр. НЕ(ПП) B2-З","Ср.усп. НЕ(ПП) B2-З","Бр. ИЕ(ПП) B1-З","Ср.усп.  ИЕ(ПП) B1-З","Бр. ИЕ(ПП) B1.1-З","Ср.усп. ИЕ(ПП) B1.1-З","Бр. ИЕ(ПП) B2-З","Ср.усп. ИЕ(ПП) B2-З","Бр. ФЕ(ПП) B1-З","Ср.усп. ФЕ(ПП) B1-З","Бр. ФЕ(ПП) B1.1-З","Ср.усп. ФЕ(ПП) B1.1-З","Бр. ФЕ(ПП)  B2-З","Ср.усп. ФЕ(ПП)  B2-З","Бр. ИТЕ(ПП) B1-З","Ср.усп. ИТЕ(ПП) B1-З","Бр. ИТЕ(ПП) B1.1-З","Ср.усп.  ИТЕ(ПП) B1.1-З","Бр. ИТЕ(ПП) B2-З","Ср.усп. ИТЕ(ПП) B2-З","Бр. ДИППК З","Ср.усп. ДИППК З","Бр. ДИППК-Пр З","Ср.усп. ДИППК-Пр З"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","102004","36","3,09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","3,89","",""
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Гимназия по туризъм ""Алеко Константинов""","102010","16","3,01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","4,02","",""
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Професионална гимназия по електроника и енергетика","102015","31","3,99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","5,01","4","6"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Средно училище ""Св.Св.Кирил и Методий""","105001","40","4,54","","","","","","","36","4,16","","","","","","","","","","","","","","","","","","","","","3","4,91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Професионална гимназия ""Никола Йонков Вапцаров""","105002","21","3,64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","4,29","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Благоевградска професионална гимназия ""Ичко Бойчев""","100052","49","2,55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","2,92","1","5,87"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Седмо средно училище ""Кузман Шапкарев""","100070","20","3,57","","","","","","","5","3,08","","","","","","","","","","","","","","","","","","","","","15","3,87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Езикова гимназия ""Акад. Людмил Стоянов""","100190","156","5,17","3","5,43","1","4,85","","","","","","","","","3","4,03","","","","","","","","","","","","","80","5,61","52","5,19","","","","","","","","","","","11","5,46","","","","","","","","","","","6","4,74","","","","","","","","","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Природо-математическа гимназия ""Акад. Сергей Корольов""","100200","156","4,79","14","4,92","4","5,38","4","4,08","20","4,44","","","9","5,25","8","4,95","16","4,82","1","3,53","","","","","","","","","","","73","5,05","","","","","","","","","","","7","4,83","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по икономика ""Иван Илиев""","100280","103","4,01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","5,58"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","100300","53","3,31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","3,76","37","5,3"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","25","3,7","","","","","","","","","","","","","","","","","7","2","","","","","","","","","","","13","4,01","","","5","4,66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","101730","12","3,01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","4,62"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","101870","112","4,19","","","2","5,11","","","","","","","37","4,21","4","3,55","","","3","2","8","3,33","5","3,46","","","","","25","5,19","25","4,49","","","","","","","","","","","","","","","","","2","2,62","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","18","3,21","","","","","","","3","4,3","","","","","15","2,91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Неврокопска професионална гимназия ""Димитър Талев""","102001","148","3,74","","","","","","","","","","","19","4,22","","","","","","","","","","","18","3,95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","5"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Природо-математическа гимназия ""Яне Сандански""","102002","127","4,48","10","4,98","4","4,92","","","6","3,79","1","3,53","25","4,98","22","3,79","","","23","3,07","","","","","","","","","","","36","4,68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Професионална гимназия по механизация на селското стопанство ""Пейо Крачолов Яворов""","102016","37","2,52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","4,32","",""
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","23","3,24","","","","","","","","","2","2,72","","","21","2,72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","Средно училище ""Св.Св.Кирил и Методий""","101301","12","3,8","","","","","","","","","","","","","","","","","","","","","","","","","11","4,71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","Средно училище ""Йордан Йовков""","103002","40","3,47","5","5,23","1","4,76","","","13","3,97","","","10","3,89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","Средно училище ""Св.Паисий Хилендарски""","105101","17","3,51","","","","","","","12","3,67","","","","","","","","","1","3","","","","","","","3","5,29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","102009","40","2,73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","3,82","",""
